sample,site,reads_total,is_indel_total,is_indel_percent,is_sub_total,is_sub_percent
51EDIT,NickOT01RH_62B6A820FDF94C2Z0Z,39445,14,0.035492457852706,15,0.038027633413613406
51EDIT,NickOT02RH_35BC5AF030D34C7Z0Z,61590,12,0.019483682415976103,10,0.0162364020133135
51EDIT,NickOT03RH_DD6B627905E0458Z0Z,10409,2,0.0192141416082236,12,0.1152848496493417
51EDIT,NickOT04RH_071B887871A845EZ0Z,30774,15,0.048742444921036694,30,0.09748488984207374
51EDIT,NickOT05RH_485B7F52727044CZ0Z,47151,38,0.08059214014548939,42,0.0890755233186983
51EDIT,NickOT06RH_843EDB16D134459Z0Z,9205,3,0.032590983161325304,10,0.10863661053775112
51EDIT,NickOT07RH_BAC613B7B4F5408Z0Z,36574,1,0.0027341827527751,17,0.0464811067971774
51EDIT,NickOT08RH_A4470941BD3D458Z0Z,34173,3,0.008778860503906501,31,0.0907148918737011
51EDIT,NickOT09RH_918E7D3A8A7843BZ0Z,32523,1,0.0030747471020508,60,0.18448482612305012
51EDIT,NickOT10RH_2FC8D18557514C0Z0Z,26108,3,0.011490730810479301,21,0.080435115673356
51EDIT,NickOT11RH_486554E8427E4F1Z0Z,23712,15,0.0632591093117405,7,0.0295209176788122
51EDIT,NickOT12RH_DD0DFFFBE66B40BZ0Z,28000,17,0.0607142857142851,32,0.11428571428571332
51EDIT,NickOT13RH_633B440D185C4F9Z0Z,11668,5,0.042852245457661794,19,0.16283853273911494
51EDIT,NickOT14RH_1F6FFA8E1E0847FZ0Z,27267,0,0.0,32,0.11735797850881986
51EDIT,NickOT15RH_B81EB3F2A3FC4EFZ0Z,2669,0,0.0,5,0.18733608092918652
51EDIT,NickOT16RH_BAA8CE4BBE12445Z0Z,21741,10,0.0459960443401864,18,0.0827928798123356
51EDIT,NickOT17RH_5FBF949B1FE6486Z0Z,24090,7,0.029057700290577002,35,0.14528850145288502
51EDIT,NickOT18RH_27D5C64EAE8846EZ0Z,14197,0,0.0,17,0.1197436078044656
51EDIT,NickOT19RH_2D095AFBA5B84B3Z0Z,3655,0,0.0,14,0.38303693570451414
51EDIT,NickOT20RH_3417DD3BC44C48AZ0Z,94431,2412,2.5542459573656178,111,0.117546144804137
51EDIT,NickOT21RH_CFE0A0AD68AB464Z0Z,8103,2,0.0246822164630383,9,0.11106997408367239
51EDIT,NickOT23RH_D8A6D93501C04EAZ0Z,8584,16,0.1863932898415652,9,0.10484622553588059
51EDIT,NickOT24RH_7392BED4418448FZ0Z,9547,2,0.0209489892112704,1,0.0104744946056352
51EDIT,NickOT25RH_86BA87C0E80A429Z0Z,2722,1,0.0367376928728875,1,0.0367376928728875
51EDIT,NickOT26RH_6D55E228D08145AZ0Z,42514,19,0.0446911605588743,69,0.1622994778190707
51EDIT,NickOT28RH_6D36DC442D1E438Z0Z,10678,1,0.009365049634763,15,0.1404757445214453
